nct_id,brief_summary,drug_names,preferred_drug_names
NCT00037648,"The purpose of this study is to determine the safety of anakinra in patients with Polyarticular-Course Juvenile Rheumatoid Arthritis, a form of rheumatoid arthritis affecting children.",['anakinra'],['anakinra']
NCT00048542,"This is a multicenter, Phase 3 randomized, placebo-controlled study designed to evaluate adalimumab in children 4 to 17 years old with polyarticular juvenile idiopathic arthritis (JIA) who are either methotrexate (MTX) treated or non-MTX treated.","['adalimumab', 'methotrexate']","['adalimumab', 'methotrexate']"
NCT00071487,"The purpose of this study is to evaluate the safety and efficacy of 3 different doses of belimumab, administered in addition to standard therapy, in patients with active SLE disease.",['belimumab'],['belimumab']
NCT00071812,"The purpose of this study is to evaluate the safety and efficacy of 3 different doses of belimumab, administered in addition to standard therapy, in patients with rheumatoid arthritis (RA).",['belimumab'],['belimumab']
NCT00072839,"The purpose of the study is to determine whether an investigational compound, ALX-0600, is safe and effective in treating Crohn's Disease.",['ALX-0600'],['teduglutide']
NCT00074438,"This study will assess the efficacy and safety of different treatment regimens of rituximab (MabThera?/Rituxan?), corticosteroids, and placebo, combined with methotrexate (MTX), in patients with active rheumatoid arthritis (RA).","['rituximab', 'MabThera', 'Rituxan', 'corticosteroids', 'methotrexate']","['rituximab', 'rituximab', 'rituximab', 'methotrexate']"
NCT00078806,The primary objective of this study was to determine the efficacy of etanercept in pediatric patients with systemically active system onset juvenile rheumatoid arthritis (SOJRA).,['etanercept'],['etanercept']
NCT00078819,This study will evaluate the safety and efficacy of etanercept (Enbrel?) in children with Psoriasis.,"['etanercept', 'Enbrel']","['etanercept', 'etanercept']"
NCT00079937,"A substance called immunoglobulin E (IgE), which is naturally produced by our body, has a key role in generating asthma attacks. In patients with allergies, there is an exaggerated production of IgE in response to specific substances such as pollens. Omalizumab is a new drug that inactivates IgE. This study tested the safety and efficacy of omalizumab against asthma attacks in children with allergic asthma.",['omalizumab'],['omalizumab']
NCT00090142,"The purpose of this study is to determine the effect of an approved medication being studied in support of a new approach in the prevention of exercise-induced asthma (a worsening of asthma caused by exercise, also known as exercise-induced bronchospasm), in patients who have a history of worsening asthma after exercise.",[],[]
NCT00092131,"The purpose of this study is to determine the effect of an approved medication being studied in support of a new approach in the prevention of exercise-induced asthma (a worsening of asthma caused by exercise, also known as exercise-induced bronchospasm), in participants who have a history of worsening asthma after exercise.",[],[]
NCT00095173,"The primary purpose of the clinical research study is to assess the safety of treating children and juvenile subjects with BMS-188667 (Abatacept). In addition, the study will assess the effectiveness of BMS-188667 in reducing disease activity of Juvenile Rheumatoid Arthritis (JRA) or Juvenile Idiopathic Arthritis (JIA) as measured by the time to occurrence of disease flare.","['BMS-188667', 'Abatacept']","['abatacept', 'abatacept']"
NCT00097370,"This is an open label study of mepolizumab 750 mg intravenous in those subjects who participated in study 100185 to evaluate the long term safety and efficacy of mepolizumab in subjects with hypereosinophilic syndrome. The study will also evaluate the optimal dosing frequency for clinical use, the effects on corticosteroid reduction, and decrease of signs and symptoms of Hypereosinophilic Syndrome.",['mepolizumab'],['mepolizumab']
NCT00106522,"This 3 arm study will compare the safety and efficacy, with regard to reduction of signs and symptoms, of tocilizumab versus placebo in combination with methotrexate (MTX) in patients with moderate to severe active rheumatoid arthritis (RA) currently on MTX therapy, and who have had an inadequate response to prior therapy with an anti-tumor necrosis factor (anti-TNF) agent. Patients will be randomized to receive tocilizumab 4mg/kg iv, tocilizumab 8mg/kg or placebo iv, every 4 weeks. All patients will also receive methotrexate 10-25mg/week. The anticipated time on study treatment is 3-12 months, and the target sample size is 500+ individuals.","['tocilizumab', 'methotrexate']","['tocilizumab', 'methotrexate']"
NCT00106535,"This 3 arm study will compare the safety and efficacy, with respect to a reduction in signs and symptoms and prevention of joint damage, of tocilizumab versus placebo, both in combination with methotrexate (MTX) in patients with moderate to severe active rheumatoid arthritis. Patients will be randomized to receive tocilizumab 4 mg/kg IV, tocilizumab 8 mg/kg IV or placebo IV, every 4 weeks. All patients will also receive methotrexate, 10-25 mg/week. The anticipated time on study treatment is 1-2 years and the target sample size is 500+ individuals. After completion of the 2 year study participants could participate in the optional 3 year open label extension phase (year 3 to 5).","['tocilizumab', 'methotrexate']","['tocilizumab', 'methotrexate']"
